#
# Output file generated by Yacora 1.5.0
# =====================================
#   Filename: 'YacoraRun_PopCoeff_n=11.dat'
#   Date of creation: 15. June 2021
#   Time of creation: 11:08:53
#   Used input file: 'H_20_11_2019.txt'
#   Performed calculation: Population Coefficient for state 'H(11)' coupled to the particle 'H(1)'
#
#   Please cite D. Wünderlich, M. Giacomin, R. Ritz and U. Fantz, J. Quant. Spectrosc. Radiat. Transfer 240, 2020, 106695, if you use Yacora results.
#
# Description of the used Parameters:
# ===================================
#
#   Temperatures and Densities: 
#              T_e: 11 given values between 1.0000 and 50.0000
#              T_n1: Fixed value 8000.0000
#              n_e: 23 given values between 1.0000e+14 and 2.0000e+21
#              n_i1: Fixed value 0.0000
#              n_n1: Fixed value 1.0000

#   Electron energy distribution function: 
#              Maxwellian
#
# Calculated Data:
# ================
#  T_e           n_e           POP_COEFF      
   1.0000        1.0000e+14    4.54844599e-28     
   1.0000        2.0000e+14    4.26215455e-28     
   1.0000        5.0000e+14    3.62950150e-28     
   1.0000        1.0000e+15    2.98703051e-28     
   1.0000        2.0000e+15    2.30656819e-28     
   1.0000        5.0000e+15    1.51048311e-28     
   1.0000        1.0000e+16    1.04769977e-28     
   1.0000        2.0000e+16    7.08014326e-29     
   1.0000        5.0000e+16    4.12108019e-29     
   1.0000        1.0000e+17    2.71700458e-29     
   1.0000        2.0000e+17    1.79295604e-29     
   1.0000        5.0000e+17    1.04530438e-29     
   1.0000        1.0000e+18    7.03623437e-30     
   1.0000        2.0000e+18    4.80358450e-30     
   1.0000        5.0000e+18    2.96307574e-30     
   1.0000        1.0000e+19    2.09063105e-30     
   1.0000        2.0000e+19    1.49852279e-30     
   1.0000        5.0000e+19    9.72459420e-31     
   1.0000        1.0000e+20    6.96534247e-31     
   1.0000        2.0000e+20    5.02780309e-31     
   1.0000        5.0000e+20    3.43770588e-31     
   1.0000        1.0000e+21    2.67088984e-31     
   1.0000        2.0000e+21    2.05343004e-31     
   1.5000        1.0000e+14    3.66398440e-26     
   1.5000        2.0000e+14    3.40755748e-26     
   1.5000        5.0000e+14    2.85830784e-26     
   1.5000        1.0000e+15    2.32205555e-26     
   1.5000        2.0000e+15    1.77128369e-26     
   1.5000        5.0000e+15    1.14392456e-26     
   1.5000        1.0000e+16    7.86279150e-27     
   1.5000        2.0000e+16    5.26859961e-27     
   1.5000        5.0000e+16    3.03148092e-27     
   1.5000        1.0000e+17    1.97887891e-27     
   1.5000        2.0000e+17    1.29054411e-27     
   1.5000        5.0000e+17    7.37511860e-28     
   1.5000        1.0000e+18    4.86982095e-28     
   1.5000        2.0000e+18    3.24557508e-28     
   1.5000        5.0000e+18    1.92277584e-28     
   1.5000        1.0000e+19    1.30866602e-28     
   1.5000        2.0000e+19    8.97984015e-29     
   1.5000        5.0000e+19    5.41321719e-29     
   1.5000        1.0000e+20    3.65019019e-29     
   1.5000        2.0000e+20    2.48925608e-29     
   1.5000        5.0000e+20    1.57246010e-29     
   1.5000        1.0000e+21    1.12739705e-29     
   1.5000        2.0000e+21    7.79629395e-30     
   2.0000        1.0000e+14    3.32232803e-25     
   2.0000        2.0000e+14    3.07782050e-25     
   2.0000        5.0000e+14    2.56248755e-25     
   2.0000        1.0000e+15    2.06886651e-25     
   2.0000        2.0000e+15    1.56911670e-25     
   2.0000        5.0000e+15    1.00679113e-25     
   2.0000        1.0000e+16    6.89030379e-26     
   2.0000        2.0000e+16    4.59760898e-26     
   2.0000        5.0000e+16    2.62951532e-26     
   2.0000        1.0000e+17    1.70718227e-26     
   2.0000        2.0000e+17    1.10598501e-26     
   2.0000        5.0000e+17    6.24873263e-27     
   2.0000        1.0000e+18    4.08079709e-27     
   2.0000        2.0000e+18    2.68227316e-27     
   2.0000        5.0000e+18    1.55332414e-27     
   2.0000        1.0000e+19    1.03590035e-27     
   2.0000        2.0000e+19    6.93046043e-28     
   2.0000        5.0000e+19    4.01004244e-28     
   2.0000        1.0000e+20    2.62138766e-28     
   2.0000        2.0000e+20    1.73595181e-28     
   2.0000        5.0000e+20    1.04596796e-28     
   2.0000        1.0000e+21    7.12203150e-29     
   2.0000        2.0000e+21    4.62424253e-29     
   3.0000        1.0000e+14    3.08700380e-24     
   3.0000        2.0000e+14    2.85111665e-24     
   3.0000        5.0000e+14    2.36021964e-24     
   3.0000        1.0000e+15    1.89675664e-24     
   3.0000        2.0000e+15    1.43244896e-24     
   3.0000        5.0000e+15    9.14513409e-25     
   3.0000        1.0000e+16    6.23618166e-25     
   3.0000        2.0000e+16    4.14504882e-25     
   3.0000        5.0000e+16    2.35603327e-25     
   3.0000        1.0000e+17    1.52043779e-25     
   3.0000        2.0000e+17    9.77509662e-26     
   3.0000        5.0000e+17    5.45001372e-26     
   3.0000        1.0000e+18    3.51368020e-26     
   3.0000        2.0000e+18    2.27284248e-26     
   3.0000        5.0000e+18    1.28304722e-26     
   3.0000        1.0000e+19    8.36315438e-27     
   3.0000        2.0000e+19    5.44006860e-27     
   3.0000        5.0000e+19    3.01744441e-27     
   3.0000        1.0000e+20    1.91478785e-27     
   3.0000        2.0000e+20    1.23160349e-27     
   3.0000        5.0000e+20    7.03321134e-28     
   3.0000        1.0000e+21    4.51398057e-28     
   3.0000        2.0000e+21    2.74351396e-28     
   4.0000        1.0000e+14    9.59040338e-24     
   4.0000        2.0000e+14    8.85415079e-24     
   4.0000        5.0000e+14    7.32452231e-24     
   4.0000        1.0000e+15    5.88301970e-24     
   4.0000        2.0000e+15    4.44045255e-24     
   4.0000        5.0000e+15    2.83227495e-24     
   4.0000        1.0000e+16    1.92931937e-24     
   4.0000        2.0000e+16    1.28036603e-24     
   4.0000        5.0000e+16    7.25452484e-25     
   4.0000        1.0000e+17    4.66541439e-25     
   4.0000        2.0000e+17    2.98569648e-25     
   4.0000        5.0000e+17    1.65124475e-25     
   4.0000        1.0000e+18    1.05630508e-25     
   4.0000        2.0000e+18    6.76843080e-26     
   4.0000        5.0000e+18    3.76553022e-26     
   4.0000        1.0000e+19    2.42314797e-26     
   4.0000        2.0000e+19    1.55265224e-26     
   4.0000        5.0000e+19    8.43772202e-27     
   4.0000        1.0000e+20    5.28392572e-27     
   4.0000        2.0000e+20    3.35204386e-27     
   4.0000        5.0000e+20    1.85994252e-27     
   4.0000        1.0000e+21    1.15707464e-27     
   4.0000        2.0000e+21    6.81042968e-28     
   7.0000        1.0000e+14    4.35341061e-23     
   7.0000        2.0000e+14    4.03130240e-23     
   7.0000        5.0000e+14    3.35375446e-23     
   7.0000        1.0000e+15    2.70613221e-23     
   7.0000        2.0000e+15    2.05072120e-23     
   7.0000        5.0000e+15    1.31251438e-23     
   7.0000        1.0000e+16    8.94789576e-24     
   7.0000        2.0000e+16    5.93234139e-24     
   7.0000        5.0000e+16    3.34669459e-24     
   7.0000        1.0000e+17    2.13979697e-24     
   7.0000        2.0000e+17    1.35825103e-24     
   7.0000        5.0000e+17    7.40344269e-25     
   7.0000        1.0000e+18    4.67100824e-25     
   7.0000        2.0000e+18    2.94528261e-25     
   7.0000        5.0000e+18    1.60016777e-25     
   7.0000        1.0000e+19    1.00965599e-25     
   7.0000        2.0000e+19    6.33727866e-26     
   7.0000        5.0000e+19    3.36334520e-26     
   7.0000        1.0000e+20    2.07828033e-26     
   7.0000        2.0000e+20    1.29853639e-26     
   7.0000        5.0000e+20    6.94924383e-27     
   7.0000        1.0000e+21    4.16040123e-27     
   7.0000        2.0000e+21    2.36004466e-27     
   10.0000       1.0000e+14    8.28385246e-23     
   10.0000       2.0000e+14    7.70109126e-23     
   10.0000       5.0000e+14    6.45500113e-23     
   10.0000       1.0000e+15    5.24080399e-23     
   10.0000       2.0000e+15    3.99339404e-23     
   10.0000       5.0000e+15    2.56939204e-23     
   10.0000       1.0000e+16    1.75551606e-23     
   10.0000       2.0000e+16    1.16457497e-23     
   10.0000       5.0000e+16    6.55851309e-24     
   10.0000       1.0000e+17    4.17982951e-24     
   10.0000       2.0000e+17    2.64026255e-24     
   10.0000       5.0000e+17    1.42643418e-24     
   10.0000       1.0000e+18    8.92483282e-25     
   10.0000       2.0000e+18    5.57494967e-25     
   10.0000       5.0000e+18    2.98879135e-25     
   10.0000       1.0000e+19    1.86671213e-25     
   10.0000       2.0000e+19    1.16112759e-25     
   10.0000       5.0000e+19    6.11481229e-26     
   10.0000       1.0000e+20    3.76709343e-26     
   10.0000       2.0000e+20    2.34453193e-26     
   10.0000       5.0000e+20    1.23991425e-26     
   10.0000       1.0000e+21    7.32907317e-27     
   10.0000       2.0000e+21    4.10891998e-27     
   15.0000       1.0000e+14    1.40695477e-22     
   15.0000       2.0000e+14    1.31539467e-22     
   15.0000       5.0000e+14    1.11490778e-22     
   15.0000       1.0000e+15    9.13749045e-23     
   15.0000       2.0000e+15    7.02235182e-23     
   15.0000       5.0000e+15    4.55705882e-23     
   15.0000       1.0000e+16    3.12613620e-23     
   15.0000       2.0000e+16    2.07774484e-23     
   15.0000       5.0000e+16    1.16930505e-23     
   15.0000       1.0000e+17    7.43076197e-24     
   15.0000       2.0000e+17    4.67123876e-24     
   15.0000       5.0000e+17    2.50081600e-24     
   15.0000       1.0000e+18    1.55113187e-24     
   15.0000       2.0000e+18    9.59565526e-25     
   15.0000       5.0000e+18    5.07467199e-25     
   15.0000       1.0000e+19    3.13795845e-25     
   15.0000       2.0000e+19    1.93661761e-25     
   15.0000       5.0000e+19    1.01481149e-25     
   15.0000       1.0000e+20    6.24716822e-26     
   15.0000       2.0000e+20    3.88352383e-26     
   15.0000       5.0000e+20    2.04140054e-26     
   15.0000       1.0000e+21    1.19812707e-26     
   15.0000       2.0000e+21    6.67319607e-27     
   20.0000       1.0000e+14    1.85691411e-22     
   20.0000       2.0000e+14    1.74380384e-22     
   20.0000       5.0000e+14    1.49147568e-22     
   20.0000       1.0000e+15    1.23204951e-22     
   20.0000       2.0000e+15    9.53815765e-23     
   20.0000       5.0000e+15    6.23676825e-23     
   20.0000       1.0000e+16    4.29490591e-23     
   20.0000       2.0000e+16    2.86091317e-23     
   20.0000       5.0000e+16    1.61099597e-23     
   20.0000       1.0000e+17    1.02250075e-23     
   20.0000       2.0000e+17    6.41117870e-24     
   20.0000       5.0000e+17    3.41416503e-24     
   20.0000       1.0000e+18    2.10652630e-24     
   20.0000       2.0000e+18    1.29544839e-24     
   20.0000       5.0000e+18    6.79374197e-25     
   20.0000       1.0000e+19    4.17537592e-25     
   20.0000       2.0000e+19    2.56542019e-25     
   20.0000       5.0000e+19    1.34137435e-25     
   20.0000       1.0000e+20    8.25928804e-26     
   20.0000       2.0000e+20    5.13593581e-26     
   20.0000       5.0000e+20    2.69689759e-26     
   20.0000       1.0000e+21    1.58016267e-26     
   20.0000       2.0000e+21    8.78643949e-27     
   30.0000       1.0000e+14    2.45753680e-22     
   30.0000       2.0000e+14    2.32272330e-22     
   30.0000       5.0000e+14    2.01388614e-22     
   30.0000       1.0000e+15    1.68412808e-22     
   30.0000       2.0000e+15    1.31917500e-22     
   30.0000       5.0000e+15    8.73646564e-23     
   30.0000       1.0000e+16    6.05982141e-23     
   30.0000       2.0000e+16    4.05761060e-23     
   30.0000       5.0000e+16    2.29385060e-23     
   30.0000       1.0000e+17    1.45687504e-23     
   30.0000       2.0000e+17    9.12227235e-24     
   30.0000       5.0000e+17    4.83560199e-24     
   30.0000       1.0000e+18    2.96770732e-24     
   30.0000       2.0000e+18    1.81336194e-24     
   30.0000       5.0000e+18    9.41709658e-25     
   30.0000       1.0000e+19    5.74366607e-25     
   30.0000       2.0000e+19    3.50909844e-25     
   30.0000       5.0000e+19    1.82968815e-25     
   30.0000       1.0000e+20    1.12682684e-25     
   30.0000       2.0000e+20    7.01322123e-26     
   30.0000       5.0000e+20    3.68751255e-26     
   30.0000       1.0000e+21    2.16238299e-26     
   30.0000       2.0000e+21    1.20310226e-26     
   50.0000       1.0000e+14    3.04217220e-22     
   50.0000       2.0000e+14    2.89822626e-22     
   50.0000       5.0000e+14    2.55829301e-22     
   50.0000       1.0000e+15    2.17629991e-22     
   50.0000       2.0000e+15    1.73400764e-22     
   50.0000       5.0000e+15    1.17088847e-22     
   50.0000       1.0000e+16    8.21653821e-23     
   50.0000       2.0000e+16    5.55199873e-23     
   50.0000       5.0000e+16    3.16505356e-23     
   50.0000       1.0000e+17    2.01719556e-23     
   50.0000       2.0000e+17    1.26418006e-23     
   50.0000       5.0000e+17    6.68540783e-24     
   50.0000       1.0000e+18    4.08695230e-24     
   50.0000       2.0000e+18    2.48489723e-24     
   50.0000       5.0000e+18    1.28076826e-24     
   50.0000       1.0000e+19    7.76464642e-25     
   50.0000       2.0000e+19    4.72335407e-25     
   50.0000       5.0000e+19    2.45859668e-25     
   50.0000       1.0000e+20    1.51445343e-25     
   50.0000       2.0000e+20    9.43680024e-26     
