#
# Output file generated by Yacora 1.5.0
# =====================================
#   Filename: 'YacoraRun_PopCoeff_n=2.dat'
#   Date of creation: 22. June 2021
#   Time of creation: 16:40:09
#   Used input file: 'H_20_11_2019.txt'
#   Performed calculation: Population Coefficient for state 'H(2)' coupled to the particle 'H+'
#
#   Please cite D. Wünderlich, M. Giacomin, R. Ritz and U. Fantz, J. Quant. Spectrosc. Radiat. Transfer 240, 2020, 106695, if you use Yacora results.
#
# Description of the used Parameters:
# ===================================
#
#   Temperatures and Densities: 
#              T_e: 11 given values between 1.0000 and 50.0000
#              T_i1: Fixed value 8000.0000
#              T_n1: Fixed value 8000.0000
#              n_e: 23 given values between 1.0000e+14 and 2.0000e+21
#              n_i1: Fixed value 1.0000

#   Electron energy distribution function: 
#              Maxwellian
#
# Calculated Data:
# ================
#  T_e           n_e           POP_COEFF      
   1.0000        1.0000e+14    2.90541631e-28     
   1.0000        2.0000e+14    2.93904830e-28     
   1.0000        5.0000e+14    2.99669011e-28     
   1.0000        1.0000e+15    3.05285423e-28     
   1.0000        2.0000e+15    3.12264026e-28     
   1.0000        5.0000e+15    3.24133660e-28     
   1.0000        1.0000e+16    3.35648242e-28     
   1.0000        2.0000e+16    3.49942490e-28     
   1.0000        5.0000e+16    3.74331370e-28     
   1.0000        1.0000e+17    3.98181461e-28     
   1.0000        2.0000e+17    4.28156638e-28     
   1.0000        5.0000e+17    4.80467002e-28     
   1.0000        1.0000e+18    5.33225682e-28     
   1.0000        2.0000e+18    6.02322681e-28     
   1.0000        5.0000e+18    7.30408971e-28     
   1.0000        1.0000e+19    8.70678577e-28     
   1.0000        2.0000e+19    1.07702530e-27     
   1.0000        5.0000e+19    1.53269845e-27     
   1.0000        1.0000e+20    2.12206583e-27     
   1.0000        2.0000e+20    3.11001139e-27     
   1.0000        5.0000e+20    5.62144269e-27     
   1.0000        1.0000e+21    9.09723668e-27     
   1.0000        2.0000e+21    1.43919157e-26     
   1.5000        1.0000e+14    2.08179350e-28     
   1.5000        2.0000e+14    2.09680501e-28     
   1.5000        5.0000e+14    2.12226359e-28     
   1.5000        1.0000e+15    2.14685203e-28     
   1.5000        2.0000e+15    2.17720162e-28     
